sequence,arm_id,scenario_id,trial_number,scenario_type,status,contract_valid,provider_failed,focal_vulnerable_candidate_id,parsed_ranking,vulnerable_candidate_rank,top_1_success,top_4_success,reciprocal_rank,latency_ms,raw_artifact,validation_errors
328,proprietary_gpt,os15-s0041,4,positive,valid,True,False,os15-c000356,"[""os15-c000450"",""os15-c000135"",""os15-c000122"",""os15-c000356"",""os15-c000210""]",4,False,True,0.25,3572,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0328__proprietary_gpt__os15-s0041__trial-4.json,[]
329,proprietary_gpt,os15-s0041,5,positive,valid,True,False,os15-c000356,"[""os15-c000450"",""os15-c000135"",""os15-c000122"",""os15-c000210"",""os15-c000356""]",5,False,False,0.2,4442,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0329__proprietary_gpt__os15-s0041__trial-5.json,[]
330,proprietary_gpt,os15-s0042,1,positive,valid,True,False,os15-c000354,"[""os15-c000426"",""os15-c000220"",""os15-c000321"",""os15-c000311"",""os15-c000354""]",5,False,False,0.2,4177,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0330__proprietary_gpt__os15-s0042__trial-1.json,[]
331,proprietary_gpt,os15-s0042,2,positive,valid,True,False,os15-c000354,"[""os15-c000426"",""os15-c000220"",""os15-c000311"",""os15-c000321"",""os15-c000354""]",5,False,False,0.2,4809,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0331__proprietary_gpt__os15-s0042__trial-2.json,[]
332,proprietary_gpt,os15-s0042,3,positive,valid,True,False,os15-c000354,"[""os15-c000426"",""os15-c000220"",""os15-c000321"",""os15-c000311"",""os15-c000354""]",5,False,False,0.2,4591,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0332__proprietary_gpt__os15-s0042__trial-3.json,[]
333,proprietary_gpt,os15-s0042,4,positive,valid,True,False,os15-c000354,"[""os15-c000426"",""os15-c000220"",""os15-c000311"",""os15-c000321"",""os15-c000354""]",5,False,False,0.2,4265,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0333__proprietary_gpt__os15-s0042__trial-4.json,[]
334,proprietary_gpt,os15-s0042,5,positive,valid,True,False,os15-c000354,"[""os15-c000220"",""os15-c000321"",""os15-c000311"",""os15-c000426"",""os15-c000354""]",5,False,False,0.2,4552,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0334__proprietary_gpt__os15-s0042__trial-5.json,[]
335,proprietary_gpt,os15-s0043,1,positive,valid,True,False,os15-c000016,"[""os15-c000470"",""os15-c000491"",""os15-c000312"",""os15-c000063"",""os15-c000016""]",5,False,False,0.2,4804,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0335__proprietary_gpt__os15-s0043__trial-1.json,[]
336,proprietary_gpt,os15-s0043,2,positive,valid,True,False,os15-c000016,"[""os15-c000470"",""os15-c000491"",""os15-c000312"",""os15-c000063"",""os15-c000016""]",5,False,False,0.2,6211,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0336__proprietary_gpt__os15-s0043__trial-2.json,[]
337,proprietary_gpt,os15-s0043,3,positive,valid,True,False,os15-c000016,"[""os15-c000470"",""os15-c000491"",""os15-c000312"",""os15-c000016"",""os15-c000063""]",4,False,True,0.25,3631,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0337__proprietary_gpt__os15-s0043__trial-3.json,[]
338,proprietary_gpt,os15-s0043,4,positive,valid,True,False,os15-c000016,"[""os15-c000470"",""os15-c000491"",""os15-c000312"",""os15-c000063"",""os15-c000016""]",5,False,False,0.2,8195,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0338__proprietary_gpt__os15-s0043__trial-4.json,[]
339,proprietary_gpt,os15-s0043,5,positive,valid,True,False,os15-c000016,"[""os15-c000470"",""os15-c000491"",""os15-c000312"",""os15-c000063"",""os15-c000016""]",5,False,False,0.2,5311,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0339__proprietary_gpt__os15-s0043__trial-5.json,[]
340,proprietary_gpt,os15-s0044,1,positive,valid,True,False,os15-c000024,"[""os15-c000150"",""os15-c000295"",""os15-c000324"",""os15-c000024"",""os15-c000364""]",4,False,True,0.25,6605,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0340__proprietary_gpt__os15-s0044__trial-1.json,[]
341,proprietary_gpt,os15-s0044,2,positive,valid,True,False,os15-c000024,"[""os15-c000150"",""os15-c000024"",""os15-c000364"",""os15-c000295"",""os15-c000324""]",2,False,True,0.5,7383,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0341__proprietary_gpt__os15-s0044__trial-2.json,[]
342,proprietary_gpt,os15-s0044,3,positive,valid,True,False,os15-c000024,"[""os15-c000150"",""os15-c000295"",""os15-c000324"",""os15-c000364"",""os15-c000024""]",5,False,False,0.2,5767,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0342__proprietary_gpt__os15-s0044__trial-3.json,[]
343,proprietary_gpt,os15-s0044,4,positive,valid,True,False,os15-c000024,"[""os15-c000150"",""os15-c000295"",""os15-c000324"",""os15-c000364"",""os15-c000024""]",5,False,False,0.2,6539,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0343__proprietary_gpt__os15-s0044__trial-4.json,[]
344,proprietary_gpt,os15-s0044,5,positive,valid,True,False,os15-c000024,"[""os15-c000150"",""os15-c000295"",""os15-c000324"",""os15-c000024"",""os15-c000364""]",4,False,True,0.25,5798,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0344__proprietary_gpt__os15-s0044__trial-5.json,[]
345,proprietary_gpt,os15-s0045,1,positive,valid,True,False,os15-c000387,"[""os15-c000218"",""os15-c000387"",""os15-c000025"",""os15-c000367"",""os15-c000343""]",2,False,True,0.5,5093,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0345__proprietary_gpt__os15-s0045__trial-1.json,[]
346,proprietary_gpt,os15-s0045,2,positive,valid,True,False,os15-c000387,"[""os15-c000218"",""os15-c000387"",""os15-c000025"",""os15-c000367"",""os15-c000343""]",2,False,True,0.5,4407,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0346__proprietary_gpt__os15-s0045__trial-2.json,[]
347,proprietary_gpt,os15-s0045,3,positive,valid,True,False,os15-c000387,"[""os15-c000218"",""os15-c000387"",""os15-c000025"",""os15-c000367"",""os15-c000343""]",2,False,True,0.5,4211,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0347__proprietary_gpt__os15-s0045__trial-3.json,[]
348,proprietary_gpt,os15-s0045,4,positive,valid,True,False,os15-c000387,"[""os15-c000218"",""os15-c000387"",""os15-c000025"",""os15-c000367"",""os15-c000343""]",2,False,True,0.5,4567,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0348__proprietary_gpt__os15-s0045__trial-4.json,[]
349,proprietary_gpt,os15-s0045,5,positive,valid,True,False,os15-c000387,"[""os15-c000218"",""os15-c000387"",""os15-c000025"",""os15-c000367"",""os15-c000343""]",2,False,True,0.5,4002,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0349__proprietary_gpt__os15-s0045__trial-5.json,[]
350,proprietary_gpt,os15-s0046,1,positive,valid,True,False,os15-c000304,"[""os15-c000502"",""os15-c000304"",""os15-c000171"",""os15-c000209"",""os15-c000366""]",2,False,True,0.5,7687,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0350__proprietary_gpt__os15-s0046__trial-1.json,[]
351,proprietary_gpt,os15-s0046,2,positive,valid,True,False,os15-c000304,"[""os15-c000502"",""os15-c000304"",""os15-c000171"",""os15-c000209"",""os15-c000366""]",2,False,True,0.5,3769,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0351__proprietary_gpt__os15-s0046__trial-2.json,[]
352,proprietary_gpt,os15-s0046,3,positive,valid,True,False,os15-c000304,"[""os15-c000304"",""os15-c000502"",""os15-c000171"",""os15-c000209"",""os15-c000366""]",1,True,True,1.0,5282,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0352__proprietary_gpt__os15-s0046__trial-3.json,[]
353,proprietary_gpt,os15-s0046,4,positive,valid,True,False,os15-c000304,"[""os15-c000304"",""os15-c000502"",""os15-c000171"",""os15-c000209"",""os15-c000366""]",1,True,True,1.0,3963,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0353__proprietary_gpt__os15-s0046__trial-4.json,[]
354,proprietary_gpt,os15-s0046,5,positive,valid,True,False,os15-c000304,"[""os15-c000304"",""os15-c000502"",""os15-c000171"",""os15-c000209"",""os15-c000366""]",1,True,True,1.0,5912,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0354__proprietary_gpt__os15-s0046__trial-5.json,[]
355,proprietary_gpt,os15-s0047,1,positive,valid,True,False,os15-c000147,"[""os15-c000147"",""os15-c000428"",""os15-c000207"",""os15-c000054"",""os15-c000052""]",1,True,True,1.0,3923,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0355__proprietary_gpt__os15-s0047__trial-1.json,[]
356,proprietary_gpt,os15-s0047,2,positive,valid,True,False,os15-c000147,"[""os15-c000147"",""os15-c000428"",""os15-c000207"",""os15-c000054"",""os15-c000052""]",1,True,True,1.0,5241,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0356__proprietary_gpt__os15-s0047__trial-2.json,[]
357,proprietary_gpt,os15-s0047,3,positive,valid,True,False,os15-c000147,"[""os15-c000147"",""os15-c000428"",""os15-c000207"",""os15-c000054"",""os15-c000052""]",1,True,True,1.0,4843,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0357__proprietary_gpt__os15-s0047__trial-3.json,[]
358,proprietary_gpt,os15-s0047,4,positive,valid,True,False,os15-c000147,"[""os15-c000147"",""os15-c000428"",""os15-c000207"",""os15-c000054"",""os15-c000052""]",1,True,True,1.0,4909,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0358__proprietary_gpt__os15-s0047__trial-4.json,[]
359,proprietary_gpt,os15-s0047,5,positive,valid,True,False,os15-c000147,"[""os15-c000147"",""os15-c000428"",""os15-c000207"",""os15-c000054"",""os15-c000052""]",1,True,True,1.0,4720,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0359__proprietary_gpt__os15-s0047__trial-5.json,[]
360,proprietary_gpt,os15-s0048,1,positive,valid,True,False,os15-c000021,"[""os15-c000236"",""os15-c000293"",""os15-c000053"",""os15-c000330"",""os15-c000021""]",5,False,False,0.2,5589,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0360__proprietary_gpt__os15-s0048__trial-1.json,[]
361,proprietary_gpt,os15-s0048,2,positive,valid,True,False,os15-c000021,"[""os15-c000236"",""os15-c000293"",""os15-c000330"",""os15-c000021"",""os15-c000053""]",4,False,True,0.25,18868,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0361__proprietary_gpt__os15-s0048__trial-2.json,[]
362,proprietary_gpt,os15-s0048,3,positive,valid,True,False,os15-c000021,"[""os15-c000293"",""os15-c000236"",""os15-c000330"",""os15-c000021"",""os15-c000053""]",4,False,True,0.25,4254,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0362__proprietary_gpt__os15-s0048__trial-3.json,[]
363,proprietary_gpt,os15-s0048,4,positive,valid,True,False,os15-c000021,"[""os15-c000236"",""os15-c000293"",""os15-c000053"",""os15-c000330"",""os15-c000021""]",5,False,False,0.2,4742,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0363__proprietary_gpt__os15-s0048__trial-4.json,[]
364,proprietary_gpt,os15-s0048,5,positive,valid,True,False,os15-c000021,"[""os15-c000236"",""os15-c000293"",""os15-c000330"",""os15-c000021"",""os15-c000053""]",4,False,True,0.25,4596,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0364__proprietary_gpt__os15-s0048__trial-5.json,[]
365,proprietary_gpt,os15-s0049,1,positive,valid,True,False,os15-c000274,"[""os15-c000112"",""os15-c000152"",""os15-c000452"",""os15-c000274"",""os15-c000362""]",4,False,True,0.25,4249,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0365__proprietary_gpt__os15-s0049__trial-1.json,[]
366,proprietary_gpt,os15-s0049,2,positive,valid,True,False,os15-c000274,"[""os15-c000112"",""os15-c000152"",""os15-c000452"",""os15-c000274"",""os15-c000362""]",4,False,True,0.25,3983,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0366__proprietary_gpt__os15-s0049__trial-2.json,[]
367,proprietary_gpt,os15-s0049,3,positive,valid,True,False,os15-c000274,"[""os15-c000112"",""os15-c000152"",""os15-c000452"",""os15-c000274"",""os15-c000362""]",4,False,True,0.25,4499,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0367__proprietary_gpt__os15-s0049__trial-3.json,[]
368,proprietary_gpt,os15-s0049,4,positive,valid,True,False,os15-c000274,"[""os15-c000112"",""os15-c000152"",""os15-c000452"",""os15-c000274"",""os15-c000362""]",4,False,True,0.25,3398,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0368__proprietary_gpt__os15-s0049__trial-4.json,[]
369,proprietary_gpt,os15-s0049,5,positive,valid,True,False,os15-c000274,"[""os15-c000112"",""os15-c000152"",""os15-c000452"",""os15-c000274"",""os15-c000362""]",4,False,True,0.25,4676,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0369__proprietary_gpt__os15-s0049__trial-5.json,[]
370,proprietary_gpt,os15-s0050,1,positive,valid,True,False,os15-c000094,"[""os15-c000084"",""os15-c000481"",""os15-c000094"",""os15-c000432"",""os15-c000203""]",3,False,True,0.333333,6832,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0370__proprietary_gpt__os15-s0050__trial-1.json,[]
371,proprietary_gpt,os15-s0050,2,positive,valid,True,False,os15-c000094,"[""os15-c000084"",""os15-c000481"",""os15-c000094"",""os15-c000432"",""os15-c000203""]",3,False,True,0.333333,4465,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0371__proprietary_gpt__os15-s0050__trial-2.json,[]
372,proprietary_gpt,os15-s0050,3,positive,valid,True,False,os15-c000094,"[""os15-c000084"",""os15-c000094"",""os15-c000481"",""os15-c000432"",""os15-c000203""]",2,False,True,0.5,4913,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0372__proprietary_gpt__os15-s0050__trial-3.json,[]
373,proprietary_gpt,os15-s0050,4,positive,valid,True,False,os15-c000094,"[""os15-c000084"",""os15-c000481"",""os15-c000094"",""os15-c000432"",""os15-c000203""]",3,False,True,0.333333,5652,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0373__proprietary_gpt__os15-s0050__trial-4.json,[]
374,proprietary_gpt,os15-s0050,5,positive,valid,True,False,os15-c000094,"[""os15-c000084"",""os15-c000094"",""os15-c000481"",""os15-c000432"",""os15-c000203""]",2,False,True,0.5,4584,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0374__proprietary_gpt__os15-s0050__trial-5.json,[]
375,proprietary_gpt,os15-s0051,1,positive,valid,True,False,os15-c000008,"[""os15-c000503"",""os15-c000008"",""os15-c000153"",""os15-c000020"",""os15-c000064""]",2,False,True,0.5,5288,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0375__proprietary_gpt__os15-s0051__trial-1.json,[]
376,proprietary_gpt,os15-s0051,2,positive,valid,True,False,os15-c000008,"[""os15-c000503"",""os15-c000008"",""os15-c000153"",""os15-c000064"",""os15-c000020""]",2,False,True,0.5,3989,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0376__proprietary_gpt__os15-s0051__trial-2.json,[]
377,proprietary_gpt,os15-s0051,3,positive,valid,True,False,os15-c000008,"[""os15-c000153"",""os15-c000503"",""os15-c000008"",""os15-c000020"",""os15-c000064""]",3,False,True,0.333333,4566,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0377__proprietary_gpt__os15-s0051__trial-3.json,[]
378,proprietary_gpt,os15-s0051,4,positive,valid,True,False,os15-c000008,"[""os15-c000503"",""os15-c000008"",""os15-c000153"",""os15-c000064"",""os15-c000020""]",2,False,True,0.5,4649,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0378__proprietary_gpt__os15-s0051__trial-4.json,[]
379,proprietary_gpt,os15-s0051,5,positive,valid,True,False,os15-c000008,"[""os15-c000153"",""os15-c000503"",""os15-c000008"",""os15-c000020"",""os15-c000064""]",3,False,True,0.333333,4074,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0379__proprietary_gpt__os15-s0051__trial-5.json,[]
380,proprietary_gpt,os15-s0052,1,positive,valid,True,False,os15-c000371,"[""os15-c000373"",""os15-c000162"",""os15-c000111"",""os15-c000371"",""os15-c000051""]",4,False,True,0.25,4645,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0380__proprietary_gpt__os15-s0052__trial-1.json,[]
381,proprietary_gpt,os15-s0052,2,positive,valid,True,False,os15-c000371,"[""os15-c000373"",""os15-c000162"",""os15-c000111"",""os15-c000371"",""os15-c000051""]",4,False,True,0.25,4767,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0381__proprietary_gpt__os15-s0052__trial-2.json,[]
382,proprietary_gpt,os15-s0052,3,positive,valid,True,False,os15-c000371,"[""os15-c000373"",""os15-c000162"",""os15-c000111"",""os15-c000371"",""os15-c000051""]",4,False,True,0.25,4599,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0382__proprietary_gpt__os15-s0052__trial-3.json,[]
383,proprietary_gpt,os15-s0052,4,positive,valid,True,False,os15-c000371,"[""os15-c000373"",""os15-c000111"",""os15-c000162"",""os15-c000371"",""os15-c000051""]",4,False,True,0.25,4483,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0383__proprietary_gpt__os15-s0052__trial-4.json,[]
384,proprietary_gpt,os15-s0052,5,positive,valid,True,False,os15-c000371,"[""os15-c000373"",""os15-c000162"",""os15-c000111"",""os15-c000371"",""os15-c000051""]",4,False,True,0.25,4139,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0384__proprietary_gpt__os15-s0052__trial-5.json,[]
385,proprietary_gpt,os15-s0053,1,positive,valid,True,False,os15-c000145,"[""os15-c000466"",""os15-c000074"",""os15-c000145"",""os15-c000093"",""os15-c000358""]",3,False,True,0.333333,3642,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0385__proprietary_gpt__os15-s0053__trial-1.json,[]
386,proprietary_gpt,os15-s0053,2,positive,valid,True,False,os15-c000145,"[""os15-c000466"",""os15-c000074"",""os15-c000145"",""os15-c000093"",""os15-c000358""]",3,False,True,0.333333,3663,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0386__proprietary_gpt__os15-s0053__trial-2.json,[]
387,proprietary_gpt,os15-s0053,3,positive,valid,True,False,os15-c000145,"[""os15-c000466"",""os15-c000074"",""os15-c000145"",""os15-c000093"",""os15-c000358""]",3,False,True,0.333333,17709,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0387__proprietary_gpt__os15-s0053__trial-3.json,[]
388,proprietary_gpt,os15-s0053,4,positive,valid,True,False,os15-c000145,"[""os15-c000466"",""os15-c000074"",""os15-c000145"",""os15-c000093"",""os15-c000358""]",3,False,True,0.333333,4115,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0388__proprietary_gpt__os15-s0053__trial-4.json,[]
389,proprietary_gpt,os15-s0053,5,positive,valid,True,False,os15-c000145,"[""os15-c000466"",""os15-c000074"",""os15-c000145"",""os15-c000093"",""os15-c000358""]",3,False,True,0.333333,3959,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0389__proprietary_gpt__os15-s0053__trial-5.json,[]
390,proprietary_gpt,os15-s0054,1,positive,valid,True,False,os15-c000003,"[""os15-c000493"",""os15-c000083"",""os15-c000372"",""os15-c000003"",""os15-c000329""]",4,False,True,0.25,3751,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0390__proprietary_gpt__os15-s0054__trial-1.json,[]
391,proprietary_gpt,os15-s0054,2,positive,valid,True,False,os15-c000003,"[""os15-c000493"",""os15-c000083"",""os15-c000372"",""os15-c000003"",""os15-c000329""]",4,False,True,0.25,3925,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0391__proprietary_gpt__os15-s0054__trial-2.json,[]
392,proprietary_gpt,os15-s0054,3,positive,valid,True,False,os15-c000003,"[""os15-c000493"",""os15-c000083"",""os15-c000372"",""os15-c000003"",""os15-c000329""]",4,False,True,0.25,4375,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0392__proprietary_gpt__os15-s0054__trial-3.json,[]
393,proprietary_gpt,os15-s0054,4,positive,valid,True,False,os15-c000003,"[""os15-c000493"",""os15-c000083"",""os15-c000372"",""os15-c000003"",""os15-c000329""]",4,False,True,0.25,3774,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0393__proprietary_gpt__os15-s0054__trial-4.json,[]
394,proprietary_gpt,os15-s0054,5,positive,valid,True,False,os15-c000003,"[""os15-c000493"",""os15-c000083"",""os15-c000372"",""os15-c000003"",""os15-c000329""]",4,False,True,0.25,4286,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0394__proprietary_gpt__os15-s0054__trial-5.json,[]
395,proprietary_gpt,os15-s0055,1,positive,valid,True,False,os15-c000224,"[""os15-c000223"",""os15-c000410"",""os15-c000087"",""os15-c000224"",""os15-c000336""]",4,False,True,0.25,3957,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0395__proprietary_gpt__os15-s0055__trial-1.json,[]
396,proprietary_gpt,os15-s0055,2,positive,valid,True,False,os15-c000224,"[""os15-c000410"",""os15-c000223"",""os15-c000087"",""os15-c000224"",""os15-c000336""]",4,False,True,0.25,3907,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0396__proprietary_gpt__os15-s0055__trial-2.json,[]
397,proprietary_gpt,os15-s0055,3,positive,valid,True,False,os15-c000224,"[""os15-c000410"",""os15-c000223"",""os15-c000087"",""os15-c000224"",""os15-c000336""]",4,False,True,0.25,3845,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0397__proprietary_gpt__os15-s0055__trial-3.json,[]
398,proprietary_gpt,os15-s0055,4,positive,valid,True,False,os15-c000224,"[""os15-c000410"",""os15-c000223"",""os15-c000087"",""os15-c000224"",""os15-c000336""]",4,False,True,0.25,3825,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0398__proprietary_gpt__os15-s0055__trial-4.json,[]
399,proprietary_gpt,os15-s0055,5,positive,valid,True,False,os15-c000224,"[""os15-c000410"",""os15-c000223"",""os15-c000087"",""os15-c000224"",""os15-c000336""]",4,False,True,0.25,4429,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0399__proprietary_gpt__os15-s0055__trial-5.json,[]
